demo_image.started,demo_image.stopped,demo_resp.keys,demo_resp.rt,demo_resp.started,demo_resp.stopped,test1_image.started,test1_image.stopped,test1_resp.keys,test1_resp.rt,test1_resp.started,test1_resp.stopped,test2_image.started,test2_image.stopped,test2_resp.keys,test2_resp.rt,test2_resp.started,test2_resp.stopped,test3_image.started,test3_image.stopped,test3_resp.keys,test3_resp.rt,test3_resp.started,test3_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19.07034110004315,None,space,16.982032499974594,19.07034110004315,None,,,,,,,,,,,,,,,,,,,,001,2022_Mar_21_0636,king_devick,2021.2.3,143.94226186925385,
,,,,,,43.916901600023266,None,space,2.20781100000022,43.916901600023266,None,,,,,,,,,,,,,,001,2022_Mar_21_0636,king_devick,2021.2.3,143.94226186925385,
,,,,,,,,,,,,47.943285200046375,None,space,1.5860376000055112,47.943285200046375,None,,,,,,,,001,2022_Mar_21_0636,king_devick,2021.2.3,143.94226186925385,
,,,,,,,,,,,,,,,,,,51.485322699998505,None,space,0.993990900053177,51.485322699998505,None,,001,2022_Mar_21_0636,king_devick,2021.2.3,143.94226186925385,
