inter_stim_inverval,GNG_stim,match,corr_key
4.5,go_stimuli\puppy_26.jpeg,1,space
4.5,no_go_stimuli\spider_22.jpg,0,None
6.5,go_stimuli\puppy_22.jpeg,1,space
4.0,no_go_stimuli\spider_25.jpg,0,None
6.5,go_stimuli\puppy_29.jpg,1,space
5.5,no_go_stimuli\spider_26.jpg,0,None
5.5,no_go_stimuli\spider_1.jpeg,0,None
4.0,go_stimuli\puppy_25.jpeg,1,space
6.0,no_go_stimuli\spider_13.jpeg,0,None
4.0,no_go_stimuli\spider_19.jpg,0,None
5.5,go_stimuli\puppy_3.jpg,1,space
4.5,no_go_stimuli\spider_4.jpeg,0,None
4.0,go_stimuli\puppy_6.jpg,1,space
6.0,go_stimuli\puppy_9.jpg,1,space
5.5,go_stimuli\puppy_4.jpg,1,space
4.5,go_stimuli\puppy_2.jpg,1,space
5.5,no_go_stimuli\spider_14.jpeg,0,None
4.0,go_stimuli\puppy_1.jpg,1,space
6.0,no_go_stimuli\spider_8.jpeg,0,None
4.5,no_go_stimuli\spider_24.jpeg,0,None
