inter_stim_inverval,GNG_stim,match,corr_key
5.0,affective_no_go_stimuli\spider_17.jpeg,0,None
5.0,affective_no_go_stimuli\spider_21.jpg,0,None
6.0,affective_go_stimuli\puppy_10.jpg,1,space
6.0,affective_go_stimuli\puppy_16.jpeg,1,space
5.0,affective_no_go_stimuli\spider_18.jpg,0,None
5.5,affective_no_go_stimuli\spider_13.jpeg,0,None
5.5,affective_no_go_stimuli\spider_16.jpeg,0,None
4.5,affective_go_stimuli\puppy_26.jpeg,1,space
4.5,affective_go_stimuli\puppy_21.jpeg,1,space
6.0,affective_no_go_stimuli\spider_19.jpg,0,None
6.0,affective_go_stimuli\puppy_18.jpeg,1,space
4.5,affective_no_go_stimuli\spider_3.jpeg,0,None
5.5,affective_go_stimuli\puppy_25.jpeg,1,space
4.0,affective_go_stimuli\puppy_28.jpg,1,space
4.0,affective_no_go_stimuli\spider_26.jpg,0,None
4.5,affective_go_stimuli\puppy_3.jpg,1,space
5.0,affective_go_stimuli\puppy_17.jpeg,1,space
4.5,affective_no_go_stimuli\spider_2.jpeg,0,None
6.5,affective_go_stimuli\puppy_27.jpg,1,space
6.5,affective_no_go_stimuli\spider_14.jpeg,0,None
