inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_no_go_stimuli\spider_23.jpg,0,None
4.0,affective_no_go_stimuli\spider_30.jpg,0,None
6.5,affective_go_stimuli\puppy_29.jpg,1,space
6.0,affective_go_stimuli\puppy_27.jpg,1,space
4.5,affective_no_go_stimuli\spider_13.jpeg,0,None
5.5,affective_go_stimuli\puppy_26.jpeg,1,space
4.0,affective_no_go_stimuli\spider_1.jpeg,0,None
4.5,affective_go_stimuli\puppy_30.jpg,1,space
5.5,affective_no_go_stimuli\spider_5.jpeg,0,None
4.0,affective_no_go_stimuli\spider_14.jpeg,0,None
5.5,affective_no_go_stimuli\spider_26.jpg,0,None
6.0,affective_go_stimuli\puppy_4.jpg,1,space
5.5,affective_no_go_stimuli\spider_24.jpeg,0,None
4.5,affective_go_stimuli\puppy_23.jpeg,1,space
5.5,affective_go_stimuli\puppy_11.jpeg,1,space
6.0,affective_no_go_stimuli\spider_19.jpg,0,None
4.5,affective_no_go_stimuli\spider_10.jpeg,0,None
6.5,affective_go_stimuli\puppy_14.jpeg,1,space
4.0,affective_go_stimuli\puppy_6.jpg,1,space
5.5,affective_go_stimuli\puppy_2.jpg,1,space
