task_order,image_stim,match,TOL_loop.thisRepN,TOL_loop.thisTrialN,TOL_loop.thisN,TOL_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,post_instructions_resp.keys,post_instructions_resp.rt,post_instructions_resp.started,post_instructions_resp.stopped,post_instructions_text.started,post_instructions_text.stopped,zero_move_text.started,zero_move_text.stopped,multi_move_text.started,multi_move_text.stopped,exp_instructions_resp.keys,exp_instructions_resp.rt,exp_instructions_resp.started,exp_instructions_resp.stopped,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_image.started,stim_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.43287069996586,None,space,0.2811327000381425,9.43287069996586,None,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_0802,affective_go_no_go,2021.2.3,143.96505684370732,
,,,,,,,,,,,,,,,,,space,0.37981050001690164,10.09227889997419,None,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_0802,affective_go_no_go,2021.2.3,143.96505684370732,
MM1,multi_move_stimuli\two_move\two_move_2.jpg,1,0,0,0,0,0,0,0,0,,,,,,,,,,,10.09227889997419,None,10.514137299964204,None,10.514137299964204,None,space,0.6963441999978386,10.514137299964204,None,18.260506799968425,None,None,0,18.260506799968425,None,11.2986777999904,18.302754200005438,,001,2022_Mar_02_0802,affective_go_no_go,2021.2.3,143.96505684370732,
