go_stim,match,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,go_instructions_text.started,go_instructions_text.stopped,go_instructions_resp.keys,go_instructions_resp.rt,go_instructions_resp.started,go_instructions_resp.stopped,inter_stim_text.started,inter_stim_text.stopped,go_image.started,go_image.stopped,response_interval_text.started,response_interval_text.stopped,subject_resp.keys,subject_resp.corr,subject_resp.started,subject_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
affective_go_stimuli\puppy_12.jpeg,['space'],0,0,0,0,0,0,0,2,8.779318000015337,None,space,0.8136637000134215,8.779318000015337,None,9.607900500006508,None,15.663526000018464,None,16.11746189999394,None,None,0,16.11746189999394,None,z,001,2022_Feb_10_2051,affective_go_no_go,2021.2.3,144.0019583879016,
,,,,,,,,,,,,,,,,19.117006700020283,None,26.14080580000882,None,,,,,,,,,,,,,
