inter_stim_inverval,GNG_stim,match,corr_key
6.0,go_stimuli\puppy_26.jpeg,1,space
5.5,go_stimuli\puppy_5.jpg,1,space
6.5,no_go_stimuli\spider_10.jpeg,0,None
6.0,go_stimuli\puppy_30.jpg,1,space
5.5,no_go_stimuli\spider_23.jpg,0,None
6.5,go_stimuli\puppy_4.jpg,1,space
5.5,go_stimuli\puppy_14.jpeg,1,space
4.0,no_go_stimuli\spider_11.jpeg,0,None
6.5,no_go_stimuli\spider_21.jpg,0,None
5.0,no_go_stimuli\spider_18.jpg,0,None
4.0,no_go_stimuli\spider_1.jpeg,0,None
6.0,go_stimuli\puppy_23.jpeg,1,space
6.0,go_stimuli\puppy_24.jpeg,1,space
4.5,no_go_stimuli\spider_9.jpeg,0,None
5.5,go_stimuli\puppy_8.jpg,1,space
4.5,no_go_stimuli\spider_20.jpg,0,None
6.0,no_go_stimuli\spider_25.jpg,0,None
5.0,go_stimuli\puppy_1.jpg,1,space
4.0,no_go_stimuli\spider_13.jpeg,0,None
4.5,go_stimuli\puppy_22.jpeg,1,space
