inter_stim_inverval,GNG_stim,match,corr_key
6.5,no_go_stimuli\spider_8.jpeg,0,None
4.5,no_go_stimuli\spider_26.jpg,0,None
4.5,no_go_stimuli\spider_12.jpeg,0,None
5.5,no_go_stimuli\spider_1.jpeg,0,None
5.5,no_go_stimuli\spider_3.jpeg,0,None
5.0,go_stimuli\puppy_28.jpg,1,space
4.0,no_go_stimuli\spider_19.jpg,0,None
6.5,go_stimuli\puppy_30.jpg,1,space
4.5,go_stimuli\puppy_19.jpeg,1,space
5.0,go_stimuli\puppy_22.jpeg,1,space
4.5,go_stimuli\puppy_15.jpeg,1,space
5.0,no_go_stimuli\spider_23.jpg,0,None
4.5,go_stimuli\puppy_1.jpg,1,space
5.5,no_go_stimuli\spider_5.jpeg,0,None
6.0,go_stimuli\puppy_23.jpeg,1,space
6.0,no_go_stimuli\spider_18.jpg,0,None
5.0,no_go_stimuli\spider_29.jpg,0,None
6.5,go_stimuli\puppy_4.jpg,1,space
4.0,go_stimuli\puppy_7.jpg,1,space
5.5,go_stimuli\puppy_9.jpg,1,space
