inter_stim_inverval,GNG_stim,match,corr_key
5.5,affective_go_stimuli\puppy_7.jpg,1,space
5.0,affective_go_stimuli\puppy_11.jpeg,1,space
4.5,affective_go_stimuli\puppy_20.jpeg,1,space
6.5,affective_no_go_stimuli\spider_11.jpeg,0,None
4.0,affective_no_go_stimuli\spider_7.jpeg,0,None
4.5,affective_go_stimuli\puppy_15.jpeg,1,space
4.0,affective_go_stimuli\puppy_12.jpeg,1,space
5.5,affective_go_stimuli\puppy_19.jpeg,1,space
4.5,affective_no_go_stimuli\spider_2.jpeg,0,None
6.0,affective_no_go_stimuli\spider_30.jpg,0,None
4.0,affective_go_stimuli\puppy_17.jpeg,1,space
5.5,affective_go_stimuli\puppy_2.jpg,1,space
6.0,affective_no_go_stimuli\spider_24.jpeg,0,None
4.5,affective_go_stimuli\puppy_13.jpg,1,space
4.0,affective_no_go_stimuli\spider_17.jpeg,0,None
6.0,affective_no_go_stimuli\spider_1.jpeg,0,None
4.5,affective_no_go_stimuli\spider_15.jpeg,0,None
6.5,affective_no_go_stimuli\spider_23.jpg,0,None
6.0,affective_no_go_stimuli\spider_8.jpeg,0,None
5.5,affective_go_stimuli\puppy_8.jpg,1,space
