image_stim,match
multi_move_stimuli\stim_two_move\stim_two_move_4.jpg,1
multi_move_stimuli\stim_not_two_move\stim_not_two_move_3.jpg,0
multi_move_stimuli\stim_two_move\stim_two_move_3.jpg,1
multi_move_stimuli\stim_two_move\stim_two_move_2.jpg,1
multi_move_stimuli\stim_not_two_move\stim_not_two_move_4.jpg,0
multi_move_stimuli\stim_not_two_move\stim_not_two_move_2.jpg,0
