image_stim,match
zero_move_stimuli\zero_move_4.jpg,['space']
zero_move_stimuli\zero_move_1.jpg,['space']
zero_move_stimuli\zero_move_2.jpg,['space']
zero_move_stimuli\zero_move_5.jpg,['space']
zero_move_stimuli\zero_move_3.jpg,['space']
zero_move_stimuli\zero_move_6.jpg,['space']
