task_order,num_stim,match_num,match,corr_key,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,exp_zero_back_text.started,exp_zero_back_text.stopped,exp_one_back_text.started,exp_one_back_text.stopped,exp_two_back_text.started,exp_two_back_text.stopped,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
zero_back1,2,2,1,right,0,0,0,0,0,0,0,0,8.737987799977418,None,8.737987799977418,None,8.737987799977418,None,12.783386600000085,13.286574099998688,right,0,0.5545182999921963,12.783386600000085,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,2,2,1,right,0,0,0,0,0,1,1,1,,,,,,,16.259369099978358,16.765064999985043,right,0,0.31704999998328276,16.259369099978358,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,2,2,1,right,0,0,0,0,0,2,2,2,,,,,,,19.764937599975383,20.264359199994942,left,0,0.4334507999883499,19.764937599975383,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,3,2,0,left,0,0,0,0,0,3,3,3,,,,,,,23.275282899994636,23.77755649999017,right,0,0.3190813999972306,23.275282899994636,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,9,2,0,left,0,0,0,0,0,4,4,4,,,,,,,26.78170539997518,27.283830699976534,None,0,,26.78170539997518,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,2,2,1,right,0,0,0,0,0,5,5,5,,,,,,,30.28400319998036,30.783145099994726,None,0,,30.28400319998036,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,2,2,1,right,0,0,0,0,0,6,6,6,,,,,,,33.78971799998544,34.28939699998591,right,0,0.41484360001049936,33.78971799998544,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,5,2,0,left,0,0,0,0,0,7,7,7,,,,,,,37.295213099976536,37.79563499998767,left,0,0.39964509999845177,37.295213099976536,37.295213099976536,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,8,2,0,left,0,0,0,0,0,8,8,8,,,,,,,40.80056059997878,41.30187269998714,left,0,0.3952047000057064,40.80056059997878,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
zero_back1,8,2,0,left,0,0,0,0,0,9,9,9,,,,,,,44.302900899987435,44.808152499987045,left,0,0.3939677999878768,44.302900899987435,None,,001,2022_Apr_02_1059,n_back,2021.2.3,144.03410730156978,
