task_order,num_stim,match,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,exp_zero_back_text.started,exp_zero_back_text.stopped,exp_one_back_text.started,exp_one_back_text.stopped,exp_two_back_text.started,exp_two_back_text.stopped,exp_instructions_resp.keys,exp_instructions_resp.rt,exp_instructions_resp.started,exp_instructions_resp.stopped,num_stim_text.started,num_stim_text.stopped,num_stim_resp.keys,num_stim_resp.corr,num_stim_resp.started,num_stim_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
two_back1,0,None,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,85.67206019998412,None,None,1,85.67206019998412,None,86.16606389998924,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,88.6714731999964,None,None,1,88.6714731999964,None,89.17234289998305,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,3,None,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,91.67091359998449,None,None,1,91.67091359998449,None,92.1718459999829,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,3,None,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,94.67028779999237,None,None,1,94.67028779999237,None,95.17111399999703,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,97.67662610000116,None,None,1,97.67662610000116,None,98.17052409998723,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,2,None,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,100.67611549998401,None,None,1,100.67611549998401,None,101.17706029998953,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,9,None,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,103.67546030000085,None,None,1,103.67546030000085,None,104.16938599999412,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,9,None,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,106.67484979997971,None,None,1,106.67484979997971,None,107.16881499998271,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,4,None,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,109.67432269998244,None,None,1,109.67432269998244,None,110.16831369997817,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,8,None,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,112.67374099997687,None,None,1,112.67374099997687,None,113.17462899998645,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,8,None,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,115.67301899997983,None,None,1,115.67301899997983,None,116.17302999997628,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,4,None,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,118.67256669999915,None,None,1,118.67256669999915,None,119.17347979999613,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,2,None,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,121.67197619998478,None,None,1,121.67197619998478,None,122.17274809998344,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,124.67134519998217,None,None,1,124.67134519998217,None,125.17226469999878,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,5,None,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,127.67076619999716,None,None,1,127.67076619999716,None,128.1646976999764,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,7,None,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,,,130.67001249999157,None,None,1,130.67001249999157,None,131.1780841999862,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,,,133.67658259999007,None,None,1,133.67658259999007,None,134.17053589998977,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,0,None,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,136.67591869999887,None,None,1,136.67591869999887,None,137.16995359997964,None,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
two_back1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_1116,n_back,2021.2.3,143.79840611678816,
