task_order,num_stim,match_num,match,corr_key,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,exp_zero_back_text.started,exp_zero_back_text.stopped,exp_one_back_text.started,exp_one_back_text.stopped,exp_two_back_text.started,exp_two_back_text.stopped,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
zero_back2,5,8,0,left,0,1,1,1,0,3,3,3,,,,,,,96.95500089999405,97.45410070000798,None,0,96.95500089999405,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,3,8,0,left,0,1,1,1,0,4,4,4,,,,,,,100.46163440000964,100.96718609999516,None,0,100.46163440000964,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,7,8,0,left,0,1,1,1,0,5,5,5,,,,,,,103.96857219998492,104.47351129999151,None,0,103.96857219998492,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,6,6,6,,,,,,,107.47406849998515,107.97975599998608,None,0,107.47406849998515,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,2,8,0,left,0,1,1,1,0,7,7,7,,,,,,,110.98034010000993,111.4859584000078,None,0,110.98034010000993,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,0,8,0,left,0,1,1,1,0,8,8,8,,,,,,,114.4865892000089,114.99235250000493,None,0,114.4865892000089,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,4,8,0,left,0,1,1,1,0,9,9,9,,,,,,,117.99267820001114,118.49160410001059,None,0,117.99267820001114,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,10,10,10,,,,,,,121.49861179999425,121.99788579999586,None,0,121.49861179999425,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,11,11,11,,,,,,,125.00550400000066,125.5109140999848,None,0,125.00550400000066,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,12,12,12,,,,,,,128.51181830000132,129.01730209999369,None,0,128.51181830000132,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,13,13,13,,,,,,,132.01791920000687,132.5235507999896,None,0,132.01791920000687,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,14,14,14,,,,,,,135.52411840000423,136.0298106999835,None,0,135.52411840000423,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,15,15,15,,,,,,,139.03038579999702,139.53609499998856,None,0,139.03038579999702,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,8,8,1,right,0,1,1,1,0,16,16,16,,,,,,,142.5363618999836,143.03538139999728,None,0,142.5363618999836,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,6,8,0,left,0,1,1,1,0,17,17,17,,,,,,,146.04331579999416,146.54859520000173,None,0,146.04331579999416,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
zero_back2,3,8,0,left,0,1,1,1,0,18,18,18,,,,,,,149.54968609998468,150.05483429998276,None,0,149.54968609998468,None,,001,2022_Apr_02_1047,n_back,2021.2.3,143.97811528722121,
