GNG_stim,match
affective_no_go_stimuli\spider_4.jpeg,
affective_go_stimuli\puppy_18.jpeg,['space']
affective_go_stimuli\puppy_27.jpg,['space']
affective_no_go_stimuli\spider_9.jpeg,
affective_no_go_stimuli\spider_23.jpg,
affective_no_go_stimuli\spider_24.jpeg,
affective_go_stimuli\puppy_29.jpg,['space']
affective_go_stimuli\puppy_15.jpeg,['space']
affective_no_go_stimuli\spider_3.jpeg,
affective_go_stimuli\puppy_23.jpeg,['space']
affective_no_go_stimuli\spider_18.jpg,
affective_go_stimuli\puppy_7.jpg,['space']
affective_no_go_stimuli\spider_25.jpg,
affective_no_go_stimuli\spider_10.jpeg,
affective_go_stimuli\puppy_1.jpg,['space']
affective_go_stimuli\puppy_2.jpg,['space']
affective_no_go_stimuli\spider_5.jpeg,
affective_no_go_stimuli\spider_21.jpg,
affective_go_stimuli\puppy_26.jpeg,['space']
affective_go_stimuli\puppy_25.jpeg,['space']
affective_go_stimuli\puppy_5.jpg,['space']
affective_go_stimuli\puppy_19.jpeg,['space']
affective_go_stimuli\puppy_10.jpg,['space']
affective_no_go_stimuli\spider_29.jpg,
affective_go_stimuli\puppy_8.jpg,['space']
affective_no_go_stimuli\spider_6.jpeg,
affective_no_go_stimuli\spider_8.jpeg,
affective_no_go_stimuli\spider_2.jpeg,
affective_go_stimuli\puppy_21.jpeg,['space']
affective_no_go_stimuli\spider_19.jpg,
