inter_stim_interval,go_stim,match
4.0,go,1
6.5,go,1
5.0,go,1
4.5,go,1
6.0,go,1
5.5,go,1
6.5,go,1
4.5,go,1
4.5,go,1
4.5,go,1
4.5,go,1
5.5,go,1
6.5,go,1
6.5,go,1
6.5,go,1
6.5,go,1
6.0,go,1
4.5,go,1
4.0,go,1
5.5,go,1
