inter_stim_inverval,GNG_stim,match
6.5,affective_go_stimuli\puppy_14.jpeg,1
6.5,affective_go_stimuli\puppy_1.jpg,1
5.0,affective_no_go_stimuli\spider_4.jpeg,0
5.5,affective_no_go_stimuli\spider_5.jpeg,0
