inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_go_stimuli\puppy_28.jpg,1,space
6.0,affective_no_go_stimuli\spider_3.jpeg,0,None
5.0,affective_go_stimuli\puppy_13.jpg,1,space
5.5,affective_no_go_stimuli\spider_10.jpeg,0,None
