inter_stim_inverval,GNG_stim,match,corr_key
4.0,affective_no_go_stimuli\spider_15.jpeg,0,None
4.5,affective_go_stimuli\puppy_17.jpeg,1,space
5.0,affective_no_go_stimuli\spider_25.jpg,0,None
6.0,affective_go_stimuli\puppy_24.jpeg,1,space
