inter_stim_inverval,GNG_stim,match,corr_key
5.5,affective_no_go_stimuli\spider_5.jpeg,0,None
4.0,affective_no_go_stimuli\spider_17.jpeg,0,None
6.0,affective_no_go_stimuli\spider_11.jpeg,0,None
5.0,affective_no_go_stimuli\spider_13.jpeg,0,None
6.0,affective_no_go_stimuli\spider_30.jpg,0,None
5.0,affective_no_go_stimuli\spider_15.jpeg,0,None
4.5,affective_go_stimuli\puppy_26.jpeg,1,space
5.0,affective_no_go_stimuli\spider_6.jpeg,0,None
4.5,affective_go_stimuli\puppy_27.jpg,1,space
6.5,affective_go_stimuli\puppy_12.jpeg,1,space
6.5,affective_no_go_stimuli\spider_26.jpg,0,None
4.0,affective_go_stimuli\puppy_5.jpg,1,space
5.5,affective_no_go_stimuli\spider_21.jpg,0,None
4.5,affective_no_go_stimuli\spider_10.jpeg,0,None
5.0,affective_go_stimuli\puppy_22.jpeg,1,space
6.0,affective_go_stimuli\puppy_18.jpeg,1,space
4.0,affective_go_stimuli\puppy_11.jpeg,1,space
6.0,affective_go_stimuli\puppy_17.jpeg,1,space
6.0,affective_go_stimuli\puppy_6.jpg,1,space
5.5,affective_go_stimuli\puppy_24.jpeg,1,space
