inter_stim_inverval,GNG_stim,match,corr_key
6.5,no_go_stimuli\spider_22.jpg,0,None
4.5,go_stimuli\puppy_5.jpg,1,space
6.0,no_go_stimuli\spider_6.jpeg,0,None
6.0,go_stimuli\puppy_4.jpg,1,space
6.0,no_go_stimuli\spider_24.jpeg,0,None
6.5,no_go_stimuli\spider_17.jpeg,0,None
6.5,no_go_stimuli\spider_10.jpeg,0,None
5.5,go_stimuli\puppy_25.jpeg,1,space
4.5,go_stimuli\puppy_23.jpeg,1,space
6.5,go_stimuli\puppy_15.jpeg,1,space
5.5,go_stimuli\puppy_19.jpeg,1,space
4.5,no_go_stimuli\spider_8.jpeg,0,None
4.5,go_stimuli\puppy_8.jpg,1,space
6.5,go_stimuli\puppy_28.jpg,1,space
5.0,go_stimuli\puppy_20.jpeg,1,space
4.5,no_go_stimuli\spider_4.jpeg,0,None
6.0,no_go_stimuli\spider_21.jpg,0,None
5.0,no_go_stimuli\spider_30.jpg,0,None
4.0,no_go_stimuli\spider_18.jpg,0,None
4.0,go_stimuli\puppy_17.jpeg,1,space
