inter_stim_inverval,GNG_stim,match,corr_key
6.5,no_go_stimuli\spider_7.jpeg,0,None
5.0,no_go_stimuli\spider_1.jpeg,0,None
4.5,go_stimuli\puppy_23.jpeg,1,space
6.5,go_stimuli\puppy_11.jpeg,1,space
4.0,no_go_stimuli\spider_22.jpg,0,None
6.0,go_stimuli\puppy_12.jpeg,1,space
4.5,no_go_stimuli\spider_26.jpg,0,None
5.0,no_go_stimuli\spider_29.jpg,0,None
6.5,no_go_stimuli\spider_18.jpg,0,None
4.0,no_go_stimuli\spider_8.jpeg,0,None
6.5,go_stimuli\puppy_28.jpg,1,space
5.5,go_stimuli\puppy_19.jpeg,1,space
5.5,go_stimuli\puppy_10.jpg,1,space
4.0,go_stimuli\puppy_20.jpeg,1,space
6.5,no_go_stimuli\spider_6.jpeg,0,None
4.0,no_go_stimuli\spider_12.jpeg,0,None
4.0,go_stimuli\puppy_8.jpg,1,space
5.5,go_stimuli\puppy_22.jpeg,1,space
6.0,go_stimuli\puppy_4.jpg,1,space
4.0,no_go_stimuli\spider_24.jpeg,0,None
