inter_stim_interval,GNG_stim,match,corr_key
5.5,go_stimuli\puppy_14.jpeg,1,space
5.0,go_stimuli\puppy_16.jpeg,1,space
5.0,go_stimuli\puppy_18.jpeg,1,space
6.5,go_stimuli\puppy_10.jpg,1,space
4.5,go_stimuli\puppy_24.jpeg,1,space
6.0,go_stimuli\puppy_19.jpeg,1,space
5.5,go_stimuli\puppy_4.jpg,1,space
5.5,go_stimuli\puppy_7.jpg,1,space
4.0,go_stimuli\puppy_5.jpg,1,space
4.0,go_stimuli\puppy_12.jpeg,1,space
4.5,go_stimuli\puppy_13.jpg,1,space
4.5,go_stimuli\puppy_29.jpg,1,space
5.5,go_stimuli\puppy_2.jpg,1,space
4.0,go_stimuli\puppy_15.jpeg,1,space
6.0,go_stimuli\puppy_23.jpeg,1,space
5.5,go_stimuli\puppy_22.jpeg,1,space
4.5,go_stimuli\puppy_20.jpeg,1,space
6.0,go_stimuli\puppy_26.jpeg,1,space
4.0,go_stimuli\puppy_25.jpeg,1,space
6.0,go_stimuli\puppy_1.jpg,1,space
