inter_stim_inverval,GNG_stim,match,corr_key
4.5,no_go_stimuli\spider_26.jpg,0,None
6.5,go_stimuli\puppy_26.jpeg,1,space
5.0,go_stimuli\puppy_3.jpg,1,space
5.5,go_stimuli\puppy_30.jpg,1,space
4.0,go_stimuli\puppy_1.jpg,1,space
6.0,no_go_stimuli\spider_18.jpg,0,None
6.5,no_go_stimuli\spider_4.jpeg,0,None
5.5,no_go_stimuli\spider_24.jpeg,0,None
6.5,no_go_stimuli\spider_15.jpeg,0,None
4.5,no_go_stimuli\spider_28.jpg,0,None
4.0,go_stimuli\puppy_14.jpeg,1,space
5.5,go_stimuli\puppy_7.jpg,1,space
4.5,go_stimuli\puppy_10.jpg,1,space
4.5,no_go_stimuli\spider_21.jpg,0,None
5.5,no_go_stimuli\spider_16.jpeg,0,None
4.0,no_go_stimuli\spider_6.jpeg,0,None
6.5,go_stimuli\puppy_24.jpeg,1,space
5.5,no_go_stimuli\spider_17.jpeg,0,None
5.5,go_stimuli\puppy_11.jpeg,1,space
6.5,go_stimuli\puppy_15.jpeg,1,space
