inter_stim_inverval,GNG_stim,match,corr_key
4.0,affective_no_go_stimuli\spider_21.jpg,0,None
5.5,affective_go_stimuli\puppy_9.jpg,1,space
4.0,affective_go_stimuli\puppy_13.jpg,1,space
6.5,affective_no_go_stimuli\spider_4.jpeg,0,None
6.5,affective_go_stimuli\puppy_19.jpeg,1,space
4.0,affective_go_stimuli\puppy_22.jpeg,1,space
6.5,affective_no_go_stimuli\spider_2.jpeg,0,None
5.5,affective_go_stimuli\puppy_30.jpg,1,space
6.5,affective_go_stimuli\puppy_14.jpeg,1,space
5.5,affective_no_go_stimuli\spider_29.jpg,0,None
5.0,affective_no_go_stimuli\spider_23.jpg,0,None
4.0,affective_no_go_stimuli\spider_28.jpg,0,None
4.0,affective_no_go_stimuli\spider_6.jpeg,0,None
4.5,affective_no_go_stimuli\spider_30.jpg,0,None
4.0,affective_go_stimuli\puppy_15.jpeg,1,space
5.5,affective_go_stimuli\puppy_7.jpg,1,space
4.5,affective_go_stimuli\puppy_23.jpeg,1,space
4.5,affective_go_stimuli\puppy_25.jpeg,1,space
5.0,affective_no_go_stimuli\spider_16.jpeg,0,None
6.0,affective_no_go_stimuli\spider_3.jpeg,0,None
