inter_stim_interval,GNG_stim,match,corr_key
4,practice_go_stimuli\puppy_3.jpg,1,space
4,practice_go_stimuli\puppy_4.jpg,1,space
4,practice_go_stimuli\puppy_5.jpg,1,space
4,practice_go_stimuli\puppy_6.jpeg,1,space
