GNG_stim,match
affective_go_stimuli\puppy_14.jpeg,['space']
affective_go_stimuli\puppy_7.jpg,['space']
affective_go_stimuli\puppy_15.jpeg,['space']
affective_no_go_stimuli\spider_19.jpg,
affective_no_go_stimuli\spider_11.jpeg,
affective_go_stimuli\puppy_8.jpg,['space']
affective_no_go_stimuli\spider_17.jpeg,
affective_go_stimuli\puppy_26.jpeg,['space']
affective_go_stimuli\puppy_29.jpg,['space']
affective_no_go_stimuli\spider_9.jpeg,
affective_no_go_stimuli\spider_28.jpg,
affective_no_go_stimuli\spider_10.jpeg,
affective_go_stimuli\puppy_4.jpg,['space']
affective_no_go_stimuli\spider_29.jpg,
