inter_stim_inverval,GNG_stim,match,corr_key
6.5,no_go_stimuli\spider_7.jpeg,0,None
6.5,go_stimuli\puppy_2.jpg,1,space
6.0,no_go_stimuli\spider_24.jpeg,0,None
5.5,go_stimuli\puppy_1.jpg,1,space
5.5,go_stimuli\puppy_24.jpeg,1,space
4.5,no_go_stimuli\spider_25.jpg,0,None
6.0,no_go_stimuli\spider_27.jpeg,0,None
4.0,no_go_stimuli\spider_12.jpeg,0,None
6.5,no_go_stimuli\spider_2.jpeg,0,None
5.5,go_stimuli\puppy_23.jpeg,1,space
4.5,go_stimuli\puppy_6.jpg,1,space
5.0,go_stimuli\puppy_12.jpeg,1,space
5.0,no_go_stimuli\spider_29.jpg,0,None
5.5,go_stimuli\puppy_21.jpeg,1,space
6.0,no_go_stimuli\spider_10.jpeg,0,None
4.0,no_go_stimuli\spider_20.jpg,0,None
6.0,go_stimuli\puppy_27.jpg,1,space
4.5,no_go_stimuli\spider_3.jpeg,0,None
6.5,go_stimuli\puppy_18.jpeg,1,space
5.0,go_stimuli\puppy_22.jpeg,1,space
