loop_count,inter_stim_inverval,GNG_stim,match,inter_stim_interval,go_stim,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,6.5,affective_go_stimuli\puppy_14.jpeg,1,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,6.5,affective_go_stimuli\puppy_1.jpg,1,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,5.0,affective_no_go_stimuli\spider_4.jpeg,0,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,5.5,affective_no_go_stimuli\spider_5.jpeg,0,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,5.5,affective_go_stimuli\puppy_10.jpg,0,0,0,0,,,,,0,0,0,0,0,0,0,0,23.18304890001309,None,space,1,0.25447740001254715,28.70050830001128,None,28.70050830001128,None,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,6.5,affective_go_stimuli\puppy_9.jpg,0,0,0,0,,,,,0,0,0,0,0,1,1,1,28.966431200009538,None,space,1,0.24691529999836348,35.47804889999679,None,35.47804889999679,None,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,4.0,affective_go_stimuli\puppy_20.jpeg,0,0,0,0,,,,,0,0,0,0,0,2,2,2,35.73730980002438,None,space,1,0.4145942000031937,39.7527438000252,None,39.7527438000252,None,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,5.0,affective_go_stimuli\puppy_22.jpeg,0,0,0,0,,,,,0,0,0,0,0,3,3,3,40.179814600007376,None,None,0,,45.18981579999672,None,45.18981579999672,45.68803910000133,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,5.0,affective_go_stimuli\puppy_15.jpeg,0,0,0,0,,,,,0,0,0,0,0,4,4,4,48.190594800020335,None,None,0,,53.21104250001372,None,53.21104250001372,53.714495799998986,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
1,,,1,5.5,affective_go_stimuli\puppy_18.jpeg,0,0,0,0,,,,,0,0,0,0,0,5,5,5,56.20284640000318,None,space,1,0.30101329999160953,61.72818850001204,None,61.72818850001204,None,,001,2022_Feb_28_1759,affective_go_no_go,2021.2.3,144.1383266419731,
