loop_count,inter_stim_inverval,GNG_stim,match,inter_stim_interval,go_stim,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,6.5,affective_go_stimuli\puppy_14.jpeg,1,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,6.5,affective_go_stimuli\puppy_1.jpg,1,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,5.0,affective_no_go_stimuli\spider_4.jpeg,0,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,5.5,affective_no_go_stimuli\spider_5.jpeg,0,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,5.5,affective_go_stimuli\puppy_10.jpg,0,0,0,0,,,,,0,0,0,0,0,0,0,0,23.739652000018395,None,space,1,0.32116429999587126,29.256671300012385,None,29.256671300012385,None,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,6.5,affective_go_stimuli\puppy_9.jpg,0,0,0,0,,,,,0,0,0,0,0,1,1,1,29.595040000014706,None,space,1,0.24520350000238977,36.10413089999929,None,36.10413089999929,None,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,4.0,affective_go_stimuli\puppy_20.jpeg,0,0,0,0,,,,,0,0,0,0,0,2,2,2,36.36344059999101,None,space,1,0.2600993000087328,40.38122680000379,None,40.38122680000379,None,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,5.0,affective_go_stimuli\puppy_22.jpeg,0,0,0,0,,,,,0,0,0,0,0,3,3,3,40.65275060001295,None,None,0,,45.66367209999589,None,45.66367209999589,46.16793520000647,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,5.0,affective_go_stimuli\puppy_15.jpeg,0,0,0,0,,,,,0,0,0,0,0,4,4,4,48.66421280000941,None,None,0,,53.68099570000777,None,53.68099570000777,54.180715299997246,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
1,,,1,5.5,affective_go_stimuli\puppy_18.jpeg,0,0,0,0,,,,,0,0,0,0,0,5,5,5,56.676198200002545,None,None,0,,62.20063589999336,None,62.20063589999336,62.704816999990726,,001,2022_Feb_28_1746,affective_go_no_go,2021.2.3,144.24061645211336,
