go_stim,match,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,go_instructions_text.started,go_instructions_text.stopped,go_instructions_resp.keys,go_instructions_resp.rt,go_instructions_resp.started,go_instructions_resp.stopped,inter_stim_text.started,inter_stim_text.stopped,go_image.started,go_image.stopped,go_resp.keys,go_resp.corr,go_resp.started,go_resp.stopped,response_interval_text.started,response_interval_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
affective_go_stimuli\puppy_7.jpg,['space'],0,0,0,0,0,0,0,16,11.97509550000541,None,space,1.0442992000025697,11.97509550000541,None,13.037243200000376,None,17.08295959996758,None,None,0,17.08295959996758,None,17.548041599977296,None,a,001,2022_Feb_06_1448,affective_go_no_go,2021.2.3,143.973554923786,
affective_go_stimuli\puppy_24.jpeg,['space'],0,0,0,0,0,1,1,15,,,,,,,20.547482999973,None,25.558606099977624,None,None,0,25.558606099977624,None,26.053397300012875,None,a,001,2022_Feb_06_1448,affective_go_no_go,2021.2.3,143.973554923786,
affective_go_stimuli\puppy_19.jpeg,['space'],0,0,0,0,0,2,2,11,,,,,,,29.05279549997067,None,36.08425549999811,None,None,0,36.08425549999811,None,36.56518390000565,None,a,001,2022_Feb_06_1448,affective_go_no_go,2021.2.3,143.973554923786,
affective_go_stimuli\puppy_22.jpeg,['space'],0,0,0,0,0,3,3,13,,,,,,,39.564566100016236,None,45.58604699996067,None,None,0,45.58604699996067,None,46.077219799975865,None,a,001,2022_Feb_06_1448,affective_go_no_go,2021.2.3,143.973554923786,
