inter_stim_inverval,GNG_stim,match,corr_key
4.0,no_go_stimuli\spider_26.jpg,0,None
6.5,no_go_stimuli\spider_9.jpeg,0,None
5.0,go_stimuli\puppy_12.jpeg,1,space
5.0,no_go_stimuli\spider_23.jpg,0,None
4.0,no_go_stimuli\spider_15.jpeg,0,None
5.0,go_stimuli\puppy_1.jpg,1,space
4.0,no_go_stimuli\spider_10.jpeg,0,None
5.0,go_stimuli\puppy_6.jpg,1,space
5.0,no_go_stimuli\spider_2.jpeg,0,None
5.5,go_stimuli\puppy_4.jpg,1,space
6.0,no_go_stimuli\spider_19.jpg,0,None
4.5,go_stimuli\puppy_28.jpg,1,space
4.0,go_stimuli\puppy_23.jpeg,1,space
5.5,go_stimuli\puppy_22.jpeg,1,space
6.5,no_go_stimuli\spider_25.jpg,0,None
6.5,no_go_stimuli\spider_6.jpeg,0,None
4.5,go_stimuli\puppy_7.jpg,1,space
6.0,no_go_stimuli\spider_16.jpeg,0,None
4.5,go_stimuli\puppy_27.jpg,1,space
5.0,go_stimuli\puppy_25.jpeg,1,space
