inter_stim_inverval,GNG_stim,match,corr_key
6.5,go_stimuli\puppy_7.jpg,1,space
5.0,go_stimuli\puppy_11.jpeg,1,space
5.0,go_stimuli\puppy_3.jpg,1,space
5.5,no_go_stimuli\spider_1.jpeg,0,None
5.5,go_stimuli\puppy_13.jpg,1,space
6.0,go_stimuli\puppy_5.jpg,1,space
5.0,no_go_stimuli\spider_15.jpeg,0,None
5.0,no_go_stimuli\spider_14.jpeg,0,None
6.0,no_go_stimuli\spider_11.jpeg,0,None
5.0,go_stimuli\puppy_28.jpg,1,space
6.0,no_go_stimuli\spider_13.jpeg,0,None
4.0,no_go_stimuli\spider_8.jpeg,0,None
4.0,go_stimuli\puppy_23.jpeg,1,space
6.5,go_stimuli\puppy_9.jpg,1,space
5.0,no_go_stimuli\spider_17.jpeg,0,None
6.0,go_stimuli\puppy_29.jpg,1,space
6.5,no_go_stimuli\spider_7.jpeg,0,None
5.0,no_go_stimuli\spider_23.jpg,0,None
4.0,go_stimuli\puppy_15.jpeg,1,space
6.5,no_go_stimuli\spider_18.jpg,0,None
