inter_stim_inverval,GNG_stim,match,corr_key
4.5,no_go_stimuli\spider_24.jpeg,0,None
6.0,no_go_stimuli\spider_21.jpg,0,None
6.5,no_go_stimuli\spider_27.jpeg,0,None
6.5,go_stimuli\puppy_20.jpeg,1,space
4.5,no_go_stimuli\spider_15.jpeg,0,None
4.0,go_stimuli\puppy_5.jpg,1,space
5.5,no_go_stimuli\spider_30.jpg,0,None
6.5,no_go_stimuli\spider_4.jpeg,0,None
6.0,go_stimuli\puppy_24.jpeg,1,space
6.0,no_go_stimuli\spider_10.jpeg,0,None
6.0,go_stimuli\puppy_3.jpg,1,space
6.5,go_stimuli\puppy_8.jpg,1,space
4.5,go_stimuli\puppy_27.jpg,1,space
6.0,no_go_stimuli\spider_3.jpeg,0,None
4.0,go_stimuli\puppy_18.jpeg,1,space
6.5,go_stimuli\puppy_2.jpg,1,space
4.5,go_stimuli\puppy_10.jpg,1,space
5.0,no_go_stimuli\spider_29.jpg,0,None
6.5,go_stimuli\puppy_4.jpg,1,space
6.0,no_go_stimuli\spider_19.jpg,0,None
