inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_go_stimuli\puppy_9.jpg,1,space
6.0,affective_no_go_stimuli\spider_13.jpeg,0,None
4.0,affective_no_go_stimuli\spider_29.jpg,0,None
5.5,affective_no_go_stimuli\spider_7.jpeg,0,None
5.0,affective_no_go_stimuli\spider_6.jpeg,0,None
5.5,affective_go_stimuli\puppy_29.jpg,1,space
5.5,affective_no_go_stimuli\spider_2.jpeg,0,None
4.5,affective_go_stimuli\puppy_14.jpeg,1,space
6.5,affective_go_stimuli\puppy_21.jpeg,1,space
4.0,affective_no_go_stimuli\spider_5.jpeg,0,None
4.5,affective_no_go_stimuli\spider_24.jpeg,0,None
5.5,affective_no_go_stimuli\spider_14.jpeg,0,None
4.0,affective_go_stimuli\puppy_25.jpeg,1,space
6.5,affective_go_stimuli\puppy_6.jpg,1,space
4.5,affective_go_stimuli\puppy_15.jpeg,1,space
5.0,affective_no_go_stimuli\spider_25.jpg,0,None
5.5,affective_go_stimuli\puppy_2.jpg,1,space
4.0,affective_no_go_stimuli\spider_15.jpeg,0,None
4.5,affective_go_stimuli\puppy_4.jpg,1,space
5.0,affective_go_stimuli\puppy_23.jpeg,1,space
