task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,75.07374129997334,None,77.07596059999196,None,77.09673380001914,None,77.20088338002097,None,-0.3175926,0.34907407,0,0,0,0.006648020003922284,None,77.64223519997904,None,79.13104268000461,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.05,1,0.25,-0.25,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,79.64221999997972,None,80.64477309997892,None,80.70021470001666,None,80.80436877999455,None,-0.3175926,0.34907407,0,0,0,0.001107439980842173,None,81.24407610000344,None,82.73449837998487,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,0.0,0.0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,83.24388359999284,None,84.24815529998159,None,84.26880359998904,None,84.37309077999089,None,-0.3175926,0.34907407,0,0,0,0.0009732399485073984,None,84.81280179996975,None,86.30326547997538,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,86.81414969998877,None,88.81665240001166,None,88.85137980000582,None,88.95556838001357,None,-0.3175926,0.34907407,0,0,0,0.0018895399989560246,None,89.40209160000086,None,90.88572577998275,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,-0.25,0.25,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,91.40454800002044,None,93.40611059998628,None,93.42684359999839,None,93.53103577997535,None,-0.3175926,0.34907407,0,0,0,0.0004041400388814509,None,93.97146989998873,None,95.46118827996543,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.05,2,0.0,0.0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,95.97276909998618,None,97.97464909998234,None,98.0301234999788,None,98.13427578000119,None,-0.3175926,0.34907407,0,0,0,0.0006541399634443223,None,98.58166550000897,None,100.06448797998019,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,-0.25,0.25,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,100.57386010000482,None,101.57812349998858,None,101.5989486000035,None,101.70311358000617,None,-0.3175926,0.34907407,0,0,0,0.0007993399631232023,None,102.14289329998428,None,103.63320857996587,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,0.25,-0.25,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,104.14403470000252,None,106.1466748000239,None,106.16740839998238,None,106.27155448001577,None,-0.3175926,0.34907407,0,0,0,0.0065557199995964766,None,106.71268120000605,None,108.20160778000718,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.05,3,-0.25,-0.25,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,108.71409750002204,None,111.71497959998669,None,111.77047440002207,None,111.87464147998253,None,-0.3175926,0.34907407,0,0,0,0.0006235399632714689,None,112.3215178999817,None,113.80483987997286,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,114.31436429999303,None,116.31837410002481,None,116.35297569999238,None,116.45706927997526,None,-0.3175926,0.34907407,0,0,0,0.002768239995930344,None,116.90214259998174,None,118.38725908001652,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,3,0.25,0.25,0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,118.9040370999719,None,121.90745830000378,None,121.94210159999784,None,122.04624007997336,None,-0.3175926,0.34907407,0,0,0,0.002408639993518591,None,122.49183680000715,None,123.97643477999372,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,124.49363470001845,None,126.49681729997974,None,126.51757019996876,None,126.6217903799843,None,-0.3175926,0.34907407,0,0,0,0.006426720006857067,None,127.06308659998467,None,128.55191457999172,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,-0.25,-0.25,1,0,0,0,0,0,26,26,26,,,,,,,,,,,,,,,129.06323149998207,None,130.06550419999985,None,130.08636090002256,None,130.19058307999512,None,-0.3175926,0.34907407,0,0,0,0.006939520011655986,None,130.63158099999418,None,132.12067858001683,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,0.0,0.0,0,0,0,0,0,0,27,27,27,,,,,,,,,,,,,,,132.63191769999685,None,133.63432900002226,None,133.65505659999326,None,133.75926058000186,None,-0.3175926,0.34907407,0,0,0,0.005556419957429171,None,134.20103609998478,None,135.68945617997088,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,-0.25,0.25,1,0,0,0,0,0,28,28,28,,,,,,,,,,,,,,,136.20183540001744,None,137.20306329999585,None,137.2238375999732,None,137.32798498001648,None,-0.3175926,0.34907407,0,0,0,0.0037423400208353996,None,137.77224640001077,None,139.2582589800004,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.05,1,0.25,-0.25,0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,,,139.77427390002413,None,140.77896640001563,None,140.83423019998008,None,140.9384263799875,None,-0.3175926,0.34907407,0,0,0,0.005079540016595274,None,141.3817087999778,None,142.86858948000008,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
SAT2,0.028999999999999998,1,0,0,1,0,1,1,1,0,0,0,0,,,,,,,143.39765920001082,None,143.39765920001082,None,space,2.3905354000162333,143.39765920001082,None,145.81538410001667,None,146.81924899999285,None,146.85403240000596,None,146.95804917998612,None,-0.3175926,0.34907407,0,0,0,0.003947939956560731,None,147.40132649999578,None,148.88839577999897,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
